shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
7e5bcc89-c591-4c40-a682-9490c17d6490,40.4586121713288,-86.9156941423234,10,2122.51
2c15a91c-1b19-4a36-ae6d-ca85ab2f054e,40.4015334189852,-86.8585161482404,11,1653.9
63bf7988-81b1-4a57-8ab4-0233f9044b48,40.4283514874191,-86.9007032752456,12,3032.89
6fc9bc14-1795-4b90-89dd-9bd373fa4ab2,40.4586108302242,-86.9155734429105,45,8932.92
4a0b5f4f-a628-43d4-adbe-3e4c971f883c,40.4259710267765,-86.9138259836332,18,2705.5
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.405971,-86.832584,32,7740.71
37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,40.4214756441996,-86.8463362363777,41,6773.63
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4029482843249,-86.8413017297567,27,6640.72
fbdfcfea-3655-4b8d-9f1d-54ff2f64bbc8,40.4177125047274,-86.843884697192,11,2848.41
9b1f9e8d-d803-40e5-880f-820f8c8c9bad,40.4182636987128,-86.8867329887589,30,6845.64
17a88b33-a925-4f57-921d-3888aab37911,40.4603784060704,-86.9158108184225,9,1926
828c66cd-6de9-4f27-b1f7-75fc65645064,40.419049586001,-86.8606887376719,16,2955.78
a3f7e3bc-9116-47f6-995a-36eb8b0bd3a7,40.4208748293444,-86.9246701553267,29,5548.94
92573703-921e-4232-b2c7-3c8b2b1f8a4a,40.4252387836718,-86.8937536712738,15,3791.38
528a9693-c87a-48d5-9ff7-4a1ddb840396,40.4504582554375,-86.9194881272011,20,5526.3
c5baae91-fc0f-4e19-a4e4-4d96568f0cd5,40.393779,-86.84914,6,409.25
6f8073c3-1bd7-41dd-bc1d-4beaf3d5f529,40.4246607675946,-86.8884120517023,8,1102.34
0562a5ba-0620-44e5-9a2b-b0e36adaff54,40.458675,-86.941505,8,1768.83
e71f5226-a234-4e67-91e6-baeb58a29ce7,40.4257577911471,-86.8894286089795,11,1872.86
c3b28356-ec91-45f0-b1ac-5cc5d27bda06,40.43431269731,-86.8636606254375,25,4315.84
584fc5fd-1f0f-47f0-9bf4-3eb10ec2caeb,40.4347753783927,-86.8644129851111,29,6016.93
584fc5fd-1f0f-47f0-9bf4-3eb10ec2caeb,40.4348545035633,-86.8672293047446,28,5778.57
c3b28356-ec91-45f0-b1ac-5cc5d27bda06,40.434741850778,-86.8643244722083,24,4242.17
44bc0a28-f9e4-4d17-8d56-c9f4b8990f93,40.4054413977528,-86.834576090251,2,402.58
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.367241,-86.8656226614489,7,795.22
9ee329f8-6535-47b6-9a81-780ef1cd14ae,40.4182636987128,-86.8867329887589,45,10005.29
260931e0-53bc-4a75-a9d1-b36078bf965e,40.417284692364,-86.8942914542134,2,400.27
c5baae91-fc0f-4e19-a4e4-4d96568f0cd5,40.403916561837,-86.8343950411317,28,3813.97
1a4bd53a-9dbf-48d3-ac76-545dae6cd104,40.4467715589268,-86.9404616618432,8,4323.53
eadf53d7-3cf5-44f5-922f-0a904da3b1bf,40.4185064386431,-86.908973867236,12,2517.17
c7efbf06-c735-4da8-b183-741510b72f8f,40.4553827914824,-86.9300278681533,4,1025.3
727b23cd-53a5-47cf-b5f2-e2905a56136d,40.4418389762544,-86.9415881896966,9,3853.43
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.4064941648539,-86.8655958393571,14,2468.07
f5dfaded-5f18-44e6-baf6-c1bffc8ee5b8,40.422065730218,-86.9106717056436,38,8399.62
d96683a2-7a4e-4c32-81eb-48e520b12ff0,40.4230286433118,-86.8470899371558,5,865.07
310c2506-8414-40ca-b304-b19618f5ed19,40.4586108302242,-86.9155734429105,36,7635.56
3501c989-ea44-4a9e-a960-cd2195cb1f48,40.39735,-86.85272,9,978.12
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.420942,-86.894253,34,5973.77
3501c989-ea44-4a9e-a960-cd2195cb1f48,40.420942,-86.894253,34,5973.77
b7b23162-ed2f-4fde-9802-07b56e05c85d,40.4114535696181,-86.8129454143611,14,4520.21
d051090e-23be-4481-bb10-0053a0a7e477,40.4257457212058,-86.8869985274672,72,12820.72
fc4537ab-7936-4701-ba96-f78dfff76d35,40.4052174332868,-86.8952087697511,58,13388.43
c8c7121c-616c-47b6-bed0-eb56731f9a8a,40.4510322482009,-86.9158818969656,13,2965.01
6a4dddf3-857a-4304-8364-2d101bea8c71,40.4292473452835,-86.9166651020446,23,3678
d051090e-23be-4481-bb10-0053a0a7e477,40.4314132291921,-86.8871822587956,69,12190.75
7e445997-59a3-46db-8b49-4c619faccbc9,40.4097932821389,-86.8864003948212,12,3475.57
bf663516-186c-4a62-aa3e-9147a59a3f5b,40.4206991446435,-86.89494,0,0
9bde8dbc-c065-4027-9a41-f1810f2fb8f8,40.4397723340852,-86.8794507908494,5,1117.25
9b1f9e8d-d803-40e5-880f-820f8c8c9bad,40.4182569931899,-86.8886199229133,31,7005.27
528a9693-c87a-48d5-9ff7-4a1ddb840396,40.4794086801653,-86.9311557371113,1,159.61
528a9693-c87a-48d5-9ff7-4a1ddb840396,40.4282911377127,-86.9191971075056,36,8742.72
d9ff9ba0-fefa-401f-bbc1-9835e032b962,40.4367950819013,-86.9154983410536,12,2567.59
44bc0a28-f9e4-4d17-8d56-c9f4b8990f93,40.392667376558,-86.8384639524498,11,2235.76
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4262338832756,-86.9223299278218,7,1609.03
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4274194197309,-86.925348754248,9,2019.62
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4262741164133,-86.9191743087276,4,1135.89
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4223312689263,-86.9305643099883,14,3013.82
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4274247841492,-86.9289496200651,1,197.16
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.427419,-86.925349,2,501.73
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.42425,-86.930554,13,2800.61
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4252682879727,-86.921880657785,6,1495.2
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4272879914813,-86.9191863786689,3,1023.22
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4199145984599,-86.9305321234782,15,3282.37
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.424262,-86.92907970721,12,2675.89
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.425156976292,-86.9191059123937,5,1260.16
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4256545260939,-86.9290126519807,11,2521.05
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4165765891419,-86.9311396438563,17,3687.18
c8f6205c-59c7-46af-995c-ec7b2a49edbd,40.4168609033144,-86.9304623860396,16,3621.75
d051090e-23be-4481-bb10-0053a0a7e477,40.4053850713602,-86.8345881601922,30,4030.83
580cd0be-953c-4115-8301-ee79b76f3661,40.3881491952031,-86.8764225766911,33,6611.3
28353004-fec2-4ee4-859b-6a1f752e3a88,40.4332974811374,-86.8814745176717,8,1910.33
3c7051e7-8a7b-4508-a68f-e3e309d32839,40.3951685366135,-86.8763595447754,4,1068.04
146fbcfb-e121-436a-92ae-cb0a75b05372,40.424743916079,-86.8869757286892,9,1223.5
53c24100-50c8-47b1-b1af-1bc4883aa139,40.4249464228717,-86.854750326559,19,4556.21
022f91d5-beef-4f92-a267-dd9e20ff64e4,40.4210786772417,-86.9218712700529,7,1282.92
6fc9bc14-1795-4b90-89dd-9bd373fa4ab2,40.4196517419607,-86.9004055500272,7,971.7
a347ba66-c983-4f5f-9910-7f93a4f9e742,40.367103,-86.8681922178383,48,10933
0cd5be5e-6217-4582-8f41-2ca2c8984197,40.427721,-86.91034,17,2851.98
f58e525e-0011-484c-abba-46cf25e978a1,40.4206991446435,-86.89494,0,0
6fc9bc14-1795-4b90-89dd-9bd373fa4ab2,40.4200232279315,-86.8954971072374,1,88.67
61d36eea-381d-428b-ae26-f2d758f9c323,40.4387919866319,-86.9379752539382,16,5125.95
eadf53d7-3cf5-44f5-922f-0a904da3b1bf,40.4206991446435,-86.89494,28,5234.88
828c66cd-6de9-4f27-b1f7-75fc65645064,40.4188256215349,-86.8760269508378,10,1657.83
53d05c93-4a7e-43d7-9dea-353b06f02a04,40.421835060229,-86.8930616613067,25,4954.99
37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,40.4321454722968,-86.8680151920328,66,10516.42
47e1a071-8b9b-428f-924c-f29954468db1,40.4461023477377,-86.9435260858253,1,286.93
