route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
f6f23df7-ffc1-42a7-9d2d-8a383a137929,f1eabeb2-f736-4baa-b241-725acb8c3e78,1f0f5091-c089-434b-aa78-ad04819331c7,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,6f25edaa-dce4-4126-9d51-6658f1b73a29
617e32b0-900c-4a4c-a049-4c82422ccdf2,a7badaf7-5e70-48a1-a1e7-16896bd58cef,e612b9f5-3961-4192-b2c5-0ed2c710d6f7,f74e88b8-ee5b-417b-b2af-748b8bb4505f,"Silver Loop to/from Dorms & Dining Halls & Campus",0,7e849e6c-f033-4357-b129-9e1b51ba80a5
df6be418-4504-4a4e-84db-262314a5d83d,81ffce56-5294-48f9-b870-e510c336fbb1,1b681e2b-8e9e-4f9b-b836-cd14875d2081,3842dd59-57d2-45dc-9e3d-ed2a6b120608,"Connector to West Lafayette & Campus",0,d22228be-8bb1-4f82-8569-fbd8e5541855
617e32b0-900c-4a4c-a049-4c82422ccdf2,b71be945-f50e-4364-bf1f-6b7bc90a7769,402f84f5-a4f1-4b88-98a4-5c1e33cccb0f,f74e88b8-ee5b-417b-b2af-748b8bb4505f,"Silver Loop to/from Dorms & Dining Halls & Campus",0,e7054d48-27c7-43c6-8f50-2e096c6bff7a
35fd93f1-05f6-4e70-acac-d4731d9542bc,81ffce56-5294-48f9-b870-e510c336fbb1,2143925e-8eac-4f4a-882f-866357bb3d50,3eac3341-ba0a-4fa5-b25c-290b2f8f9e7f,"Union to Union St & Underwood St (+Howarth Center)",0,26c6fe07-8c36-44d6-8b02-e0d83633b90c
64ba5592-c5b9-48ef-8e9e-9ed499b067ed,b71be945-f50e-4364-bf1f-6b7bc90a7769,3fcba977-de50-4bef-a178-a71e140749d0,d9ff9ba0-fefa-401f-bbc1-9835e032b962,"Purdue to Northwestern, Yeager & Shining Armor",0,04bac02d-1439-4903-86bc-8a230c949859
df6be418-4504-4a4e-84db-262314a5d83d,f1eabeb2-f736-4baa-b241-725acb8c3e78,28f235fb-6974-497b-b21f-5854c109a9ab,53d05c93-4a7e-43d7-9dea-353b06f02a04,"Connector to Lilly Hall & Downtown Lafayette",1,339e81ec-bd34-4237-ac31-5e0810d33138
4c8205d4-4504-4d99-8269-f6b39768fbc5,b71be945-f50e-4364-bf1f-6b7bc90a7769,65ab716b-e4ad-41bb-ad2b-665cbbbeea1f,2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,"Gold Loop from Campus to Purdue Village & Dorms",0,21425d48-598c-47f3-9e49-f4a05d20c196
9507e8fc-dc72-4262-9bc3-b44a4cd9e466,b71be945-f50e-4364-bf1f-6b7bc90a7769,c138d329-539f-4b77-8cbc-03e5045b607d,0d22d965-dbae-42fd-9252-4e45d14ca76a,"Park East to CityBus Center",0,3f51c6f8-9ee8-48af-a127-84a3ba732025
e8784ff3-a2c2-45c3-aacb-5231944bc761,81ffce56-5294-48f9-b870-e510c336fbb1,bd0f7af0-3931-4ee3-9309-385682364c1f,63bf7988-81b1-4a57-8ab4-0233f9044b48,"Happy Hollow to River Rd & Kalberer Rd",0,ca60faec-fbf6-437f-8a3e-290a1c5d6eb4
35fd93f1-05f6-4e70-acac-d4731d9542bc,81ffce56-5294-48f9-b870-e510c336fbb1,7f87a8be-212c-4e7b-9c7e-2e9efb1ce6d6,3eac3341-ba0a-4fa5-b25c-290b2f8f9e7f,"Union to Union St & Underwood St (+Howarth Center)",0,26c6fe07-8c36-44d6-8b02-e0d83633b90c
43c32665-1947-4a28-8041-3f68feab4a2e,a7badaf7-5e70-48a1-a1e7-16896bd58cef,18225221-50d0-4f96-b903-96ce0080b726,d2af05f0-b5f8-496f-8160-727ee3a9dc35,"Tower Acres Loop from Tower Acres to Campus",0,56c68a2f-c47a-4076-8711-5ca8d9559c21
89b25b67-87df-413b-82b1-003f39e52665,b71be945-f50e-4364-bf1f-6b7bc90a7769,6eb6d763-196c-4ffe-8958-109bcecfe4de,c8c7121c-616c-47b6-bed0-eb56731f9a8a,"Salisbury to CityBus Center",0,8ef41a3d-80bd-4a64-937f-b1dc59136291
4c8205d4-4504-4d99-8269-f6b39768fbc5,b71be945-f50e-4364-bf1f-6b7bc90a7769,afb9e8ef-a3ad-4f4d-a8b0-96550d211fb5,2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,"Gold Loop from Campus to Purdue Village & Dorms",0,59bc663d-03af-4075-9f32-17fb57094ce7
df6be418-4504-4a4e-84db-262314a5d83d,a7badaf7-5e70-48a1-a1e7-16896bd58cef,a0e04b7c-55cc-4e42-8718-b0437f56e2f8,3842dd59-57d2-45dc-9e3d-ed2a6b120608,"Connector to West Lafayette & Campus",0,14d30060-9812-4cd7-8920-535d4603db15
9507e8fc-dc72-4262-9bc3-b44a4cd9e466,81ffce56-5294-48f9-b870-e510c336fbb1,735dba4b-2e64-4490-847c-c40765176b5c,0d22d965-dbae-42fd-9252-4e45d14ca76a,"Park East to CityBus Center",0,7765ceaa-8f0b-4e5f-aad7-5fddf9f3e8d8
43c32665-1947-4a28-8041-3f68feab4a2e,b71be945-f50e-4364-bf1f-6b7bc90a7769,f2bc998d-a376-49b2-94bc-69a2a4b5ef8a,d2af05f0-b5f8-496f-8160-727ee3a9dc35,"Tower Acres Loop from Tower Acres to Campus",0,95b5e1d3-322b-40a3-aa5f-6d6d6a6242e6
9507e8fc-dc72-4262-9bc3-b44a4cd9e466,b71be945-f50e-4364-bf1f-6b7bc90a7769,9110511e-028c-49ff-be5b-ebdeadd2bc31,d8bebeb5-1c54-4eee-b5b0-cdd545d80539,"Park East to  Park East Blvd, IU Hospital",1,9c2a0c93-0170-4e0e-9bcb-f1f121169e21
